Datetime,Open,High,Low,Close,Volume
2025-02-03 15:30:00+01:00,411.760009765625,414.7200012207031,409.1199951171875,412.75,3731594
2025-02-03 15:45:00+01:00,412.8599853515625,412.8599853515625,411.2500915527344,411.3699951171875,1046842
2025-02-03 16:00:00+01:00,411.25,411.4200134277344,409.1300048828125,409.25,1213578
2025-02-03 16:15:00+01:00,409.2200012207031,411.9700012207031,408.6700134277344,411.67498779296875,1280215
2025-02-03 16:30:00+01:00,411.6499938964844,413.29998779296875,411.1099853515625,413.20001220703125,823053
2025-02-03 16:45:00+01:00,413.2049865722656,413.5799865722656,412.42999267578125,413.0400085449219,575535
2025-02-03 17:00:00+01:00,412.8999938964844,413.6499938964844,412.1499938964844,412.6400146484375,695505
2025-02-03 17:15:00+01:00,412.6000061035156,412.9200134277344,411.5,411.79998779296875,506692
2025-02-03 17:30:00+01:00,411.7850036621094,411.7850036621094,410.92999267578125,411.1199951171875,401569
2025-02-03 17:45:00+01:00,411.1499938964844,411.7998962402344,410.3699951171875,411.125,808090
2025-02-03 18:00:00+01:00,411.1199951171875,411.75,410.6099853515625,411.20001220703125,294190
2025-02-03 18:15:00+01:00,411.1700134277344,412.55999755859375,410.860107421875,411.69000244140625,420993
2025-02-03 18:30:00+01:00,411.6499938964844,411.8974914550781,410.54998779296875,410.95001220703125,616409
2025-02-03 18:45:00+01:00,410.9800109863281,412.3550109863281,410.7799987792969,412.07000732421875,757533
2025-02-03 19:00:00+01:00,412.0199890136719,412.8774108886719,411.3299865722656,412.6820068359375,344674
2025-02-03 19:15:00+01:00,412.67999267578125,413.3999938964844,412.375,413.0299987792969,333757
2025-02-03 19:30:00+01:00,413.0899963378906,413.7951965332031,413.0,413.3550109863281,293913
2025-02-03 19:45:00+01:00,413.3999938964844,414.9200134277344,413.35009765625,414.8949890136719,523223
2025-02-03 20:00:00+01:00,414.8500061035156,415.2900085449219,414.3500061035156,415.080810546875,523962
2025-02-03 20:15:00+01:00,415.05010986328125,415.4100036621094,414.80999755859375,415.05999755859375,456021
2025-02-03 20:30:00+01:00,415.0899963378906,415.19500732421875,414.57000732421875,414.7900085449219,459084
2025-02-03 20:45:00+01:00,414.7850036621094,414.989990234375,413.93499755859375,414.04998779296875,371825
2025-02-03 21:00:00+01:00,414.1000061035156,414.1449890136719,413.1000061035156,413.3599853515625,575854
2025-02-03 21:15:00+01:00,413.3399963378906,414.32000732421875,413.29998779296875,413.5849914550781,367144
2025-02-03 21:30:00+01:00,413.6099853515625,414.2799987792969,413.3299865722656,413.43499755859375,543363
2025-02-03 21:45:00+01:00,413.4800109863281,413.6199951171875,410.7699890136719,411.010009765625,2313212
2025-02-04 15:30:00+01:00,412.1700134277344,412.29998779296875,409.760009765625,410.510009765625,2541914
2025-02-04 15:45:00+01:00,410.489990234375,412.2200012207031,410.25,411.2699890136719,1080023
2025-02-04 16:00:00+01:00,411.3299865722656,412.8399963378906,411.2749938964844,412.2099914550781,774088
2025-02-04 16:15:00+01:00,412.2867126464844,413.44000244140625,411.6700134277344,413.17999267578125,490268
2025-02-04 16:30:00+01:00,412.93060302734375,413.9198913574219,412.66009521484375,413.5,696020
2025-02-04 16:45:00+01:00,413.4849853515625,413.6499938964844,412.739990234375,413.1708068847656,606907
2025-02-04 17:00:00+01:00,413.2449951171875,413.6499938964844,413.0,413.0400085449219,438894
2025-02-04 17:15:00+01:00,413.0450134277344,413.1499938964844,412.239990234375,413.1300048828125,670830
2025-02-04 17:30:00+01:00,413.1400146484375,413.625,412.7200012207031,413.0,297603
2025-02-04 17:45:00+01:00,412.989990234375,412.989990234375,412.17999267578125,412.54998779296875,394826
2025-02-04 18:00:00+01:00,412.54998779296875,413.0,412.20001220703125,412.3500061035156,301466
2025-02-04 18:15:00+01:00,412.3349914550781,412.4200134277344,411.0,411.05999755859375,580627
2025-02-04 18:30:00+01:00,411.07000732421875,411.385009765625,410.6600036621094,411.1400146484375,515441
2025-02-04 18:45:00+01:00,411.1000061035156,411.75,410.82000732421875,411.7300109863281,555781
2025-02-04 19:00:00+01:00,411.7300109863281,411.7900085449219,410.79998779296875,411.1099853515625,352046
2025-02-04 19:15:00+01:00,411.1138916015625,411.79998779296875,411.1099853515625,411.7550048828125,361876
2025-02-04 19:30:00+01:00,411.739990234375,411.8399963378906,411.28009033203125,411.57000732421875,348213
2025-02-04 19:45:00+01:00,411.57501220703125,411.8800048828125,411.4800109863281,411.5899963378906,256425
2025-02-04 20:00:00+01:00,411.5299987792969,412.4381103515625,411.3363037109375,412.20928955078125,378765
2025-02-04 20:15:00+01:00,412.2099914550781,412.6600036621094,412.0400085449219,412.497802734375,361744
2025-02-04 20:30:00+01:00,412.4599914550781,412.8800048828125,412.3900146484375,412.5899963378906,428850
2025-02-04 20:45:00+01:00,412.5899963378906,412.6600036621094,412.05999755859375,412.5400085449219,466203
2025-02-04 21:00:00+01:00,412.6099853515625,412.6400146484375,412.25,412.44000244140625,374695
2025-02-04 21:15:00+01:00,412.4599914550781,412.5249938964844,411.8900146484375,411.9599914550781,481525
2025-02-04 21:30:00+01:00,411.94500732421875,412.1400146484375,411.7799987792969,412.0400085449219,575527
2025-02-04 21:45:00+01:00,412.04998779296875,412.92999267578125,411.3599853515625,412.30999755859375,1712994
2025-02-05 15:30:00+01:00,411.635009765625,413.70001220703125,410.8299865722656,413.1199951171875,1930468
2025-02-05 15:45:00+01:00,413.1400146484375,413.5,410.6400146484375,410.6400146484375,811215
2025-02-05 16:00:00+01:00,410.80999755859375,411.4638977050781,410.4200134277344,411.2900085449219,751390
2025-02-05 16:15:00+01:00,411.2900085449219,411.92999267578125,410.55999755859375,411.6400146484375,563032
